age_class,EMS,date,var,value
"[65, Inf)",0,2020-04-13,case_incid,8
"[65, Inf)",1,2020-04-13,case_incid,10
"[-Inf,5)",0,2020-04-14,case_incid,0
"[5,10)",0,2020-04-14,case_incid,0
"[10,20)",0,2020-04-14,case_incid,4
"[20,50)",0,2020-04-14,case_incid,17
"[50,65)",0,2020-04-14,case_incid,15
"[50,65)",1,2020-04-14,case_incid,1
"[65, Inf)",0,2020-04-14,case_incid,6
"[65, Inf)",1,2020-04-14,case_incid,14
"[-Inf,5)",0,2020-04-15,case_incid,0
"[5,10)",0,2020-04-15,case_incid,0
"[10,20)",0,2020-04-15,case_incid,2
"[20,50)",0,2020-04-15,case_incid,34
"[50,65)",0,2020-04-15,case_incid,8
"[50,65)",1,2020-04-15,case_incid,0
"[65, Inf)",0,2020-04-15,case_incid,10
"[65, Inf)",1,2020-04-15,case_incid,5
"[-Inf,5)",0,2020-04-16,case_incid,0
"[5,10)",0,2020-04-16,case_incid,2
"[10,20)",0,2020-04-16,case_incid,3
"[20,50)",0,2020-04-16,case_incid,37
"[50,65)",0,2020-04-16,case_incid,9
"[50,65)",1,2020-04-16,case_incid,0
"[65, Inf)",0,2020-04-16,case_incid,12
"[65, Inf)",1,2020-04-16,case_incid,3
"[-Inf,5)",0,2020-04-17,case_incid,0
"[5,10)",0,2020-04-17,case_incid,0
"[10,20)",0,2020-04-17,case_incid,2
"[20,50)",0,2020-04-17,case_incid,19
"[50,65)",0,2020-04-17,case_incid,12
"[50,65)",1,2020-04-17,case_incid,2
"[65, Inf)",0,2020-04-17,case_incid,4
"[65, Inf)",1,2020-04-17,case_incid,6
"[-Inf,5)",0,2020-04-18,case_incid,0
"[5,10)",0,2020-04-18,case_incid,0
"[10,20)",0,2020-04-18,case_incid,2
"[20,50)",0,2020-04-18,case_incid,23
"[50,65)",0,2020-04-18,case_incid,9
"[50,65)",1,2020-04-18,case_incid,0
"[65, Inf)",0,2020-04-18,case_incid,3
"[65, Inf)",1,2020-04-18,case_incid,7
"[-Inf,5)",0,2020-04-19,case_incid,1
"[5,10)",0,2020-04-19,case_incid,0
"[10,20)",0,2020-04-19,case_incid,0
"[20,50)",0,2020-04-19,case_incid,5
"[50,65)",0,2020-04-19,case_incid,2
"[50,65)",1,2020-04-19,case_incid,0
"[65, Inf)",0,2020-04-19,case_incid,1
"[65, Inf)",1,2020-04-19,case_incid,1
"[-Inf,5)",0,2020-04-20,case_incid,0
"[5,10)",0,2020-04-20,case_incid,1
"[10,20)",0,2020-04-20,case_incid,2
"[20,50)",0,2020-04-20,case_incid,11
"[50,65)",0,2020-04-20,case_incid,6
"[50,65)",1,2020-04-20,case_incid,0
"[65, Inf)",0,2020-04-20,case_incid,7
"[65, Inf)",1,2020-04-20,case_incid,1
"[-Inf,5)",0,2020-04-21,case_incid,0
"[5,10)",0,2020-04-21,case_incid,0
"[10,20)",0,2020-04-21,case_incid,1
"[20,50)",0,2020-04-21,case_incid,13
"[50,65)",0,2020-04-21,case_incid,11
"[50,65)",1,2020-04-21,case_incid,0
"[65, Inf)",0,2020-04-21,case_incid,5
"[65, Inf)",1,2020-04-21,case_incid,4
"[-Inf,5)",0,2020-04-22,case_incid,0
"[5,10)",0,2020-04-22,case_incid,1
